,Account Statements,Balance Transfer,Bereavement Support,Bonds,Budgeting Tools and Resources,Car Insurance Renewal,Cardless Cash Withdrawal,Cheque Payments,Claims,Credit Score,Current Accounts,Daily Savings,Data and Privacy Control,Debit Cards,Debt Management Services,Digital Confidence,Financial Assistance,Financial Education Webinars,Fixed Deposit,Fixed Term Savings,Fixed-rate Credit Card,Fraud Alerts and Monitoring,Fund Performance,Google/Apple Pay,Insurance Coverage Calculator,Interest Rates,International Payments,International Trading,Investment Accounts,ISA Accounts,Life Insurance Coverage,Mobile Banking App,Mortgage Calculator,Mortgage Rates,Online Purchases,Other Borrowing Options,Overdraft Protection,Personal Loan Calculator,Personal Pension,Personalised Financial Advice,Remortgage Options,Retirement Planning Calculator,Rewards Programme,Savings Options,Self-Invested Personal Pension (SIPP),Stock Trading and Shares,Student account,Student Loan Repayment,Travel Insurance,Trustee Banking
Account Statements,0.0,47.5,7.5,17.5,17.5,7.5,42.5,42.5,15.0,37.5,60.0,42.5,22.5,47.5,12.5,10.0,10.0,17.5,20.0,25.0,20.0,12.5,12.5,37.5,15.0,15.0,37.5,15.0,17.5,22.5,5.0,47.5,12.5,2.5,45.0,15.0,30.0,30.0,12.5,25.0,10.0,17.5,42.5,25.0,10.0,12.5,37.5,15.0,2.5,25.0
Balance Transfer,47.5,0.0,7.5,12.5,10.0,7.5,47.5,60.0,12.5,22.5,52.5,35.0,7.5,72.5,15.0,5.0,12.5,12.5,22.5,25.0,45.0,5.0,10.0,35.0,2.5,15.0,47.5,15.0,12.5,22.5,5.0,37.5,5.0,7.5,42.5,25.0,35.0,17.5,10.0,10.0,12.5,2.5,30.0,15.0,7.5,7.5,35.0,30.0,12.5,30.0
Bereavement Support,7.5,7.5,0.0,5.0,40.0,15.0,17.5,5.0,30.0,12.5,7.5,5.0,35.0,2.5,47.5,35.0,60.0,47.5,5.0,2.5,10.0,45.0,12.5,10.0,15.0,17.5,12.5,12.5,7.5,5.0,20.0,7.5,15.0,10.0,17.5,20.0,35.0,15.0,15.0,50.0,17.5,22.5,27.500000000000004,12.5,15.0,5.0,10.0,22.5,17.5,12.5
Bonds,17.5,12.5,5.0,0.0,5.0,2.5,7.5,5.0,12.5,2.5,20.0,42.5,2.5,10.0,2.5,2.5,2.5,7.5,30.0,45.0,10.0,0.0,60.0,7.5,5.0,12.5,12.5,62.5,80.0,52.5,7.5,5.0,5.0,7.5,5.0,10.0,2.5,7.5,45.0,7.5,10.0,22.5,12.5,40.0,52.5,85.0,15.0,7.5,5.0,20.0
Budgeting Tools and Resources,17.5,10.0,40.0,5.0,0.0,5.0,17.5,5.0,15.0,22.5,10.0,7.5,22.5,7.5,47.5,45.0,60.0,70.0,7.5,7.5,7.5,40.0,12.5,12.5,27.500000000000004,25.0,12.5,7.5,5.0,5.0,10.0,15.0,35.0,12.5,7.5,17.5,30.0,42.5,5.0,60.0,20.0,32.5,17.5,10.0,5.0,5.0,10.0,15.0,10.0,2.5
Car Insurance Renewal,7.5,7.5,15.0,2.5,5.0,0.0,17.5,10.0,37.5,5.0,12.5,7.5,7.5,7.5,10.0,7.5,10.0,5.0,7.5,7.5,7.5,5.0,0.0,5.0,47.5,7.5,15.0,10.0,2.5,5.0,70.0,10.0,5.0,5.0,20.0,17.5,10.0,7.5,2.5,7.5,12.5,5.0,5.0,10.0,5.0,5.0,7.5,17.5,80.0,5.0
Cardless Cash Withdrawal,42.5,47.5,17.5,7.5,17.5,17.5,0.0,57.49999999999999,10.0,20.0,37.5,25.0,22.5,50.0,17.5,20.0,15.0,20.0,20.0,17.5,22.5,17.5,5.0,65.0,5.0,15.0,57.49999999999999,22.5,10.0,10.0,7.5,57.49999999999999,5.0,5.0,67.5,12.5,35.0,15.0,5.0,12.5,7.5,7.5,35.0,15.0,5.0,10.0,20.0,22.5,10.0,20.0
Cheque Payments,42.5,60.0,5.0,5.0,5.0,10.0,57.49999999999999,0.0,7.5,17.5,47.5,22.5,17.5,62.5,7.5,5.0,5.0,7.5,22.5,22.5,27.500000000000004,7.5,2.5,45.0,2.5,5.0,72.5,17.5,7.5,15.0,2.5,52.5,0.0,0.0,55.00000000000001,12.5,30.0,12.5,10.0,12.5,2.5,2.5,32.5,12.5,5.0,5.0,35.0,30.0,5.0,37.5
Claims,15.0,12.5,30.0,12.5,15.0,37.5,10.0,7.5,0.0,10.0,7.5,12.5,35.0,5.0,20.0,22.5,20.0,20.0,5.0,5.0,7.5,40.0,12.5,7.5,30.0,17.5,12.5,15.0,12.5,10.0,37.5,10.0,15.0,5.0,20.0,22.5,20.0,17.5,10.0,25.0,15.0,12.5,15.0,15.0,7.5,10.0,15.0,15.0,37.5,10.0
Credit Score,37.5,22.5,12.5,2.5,22.5,5.0,20.0,17.5,10.0,0.0,15.0,15.0,15.0,20.0,37.5,15.0,25.0,17.5,10.0,5.0,32.5,15.0,12.5,22.5,17.5,22.5,17.5,7.5,10.0,7.5,5.0,25.0,27.500000000000004,20.0,25.0,27.500000000000004,32.5,47.5,5.0,22.5,32.5,20.0,27.500000000000004,20.0,5.0,2.5,10.0,35.0,5.0,15.0
Current Accounts,60.0,52.5,7.5,20.0,10.0,12.5,37.5,47.5,7.5,15.0,0.0,45.0,15.0,65.0,12.5,7.5,5.0,7.5,30.0,40.0,32.5,2.5,10.0,32.5,0.0,12.5,42.5,12.5,27.500000000000004,45.0,7.5,40.0,0.0,2.5,40.0,12.5,25.0,17.5,22.5,7.5,5.0,2.5,35.0,25.0,20.0,12.5,72.5,25.0,10.0,40.0
Daily Savings,42.5,35.0,5.0,42.5,7.5,7.5,25.0,22.5,12.5,15.0,45.0,0.0,7.5,35.0,2.5,10.0,0.0,7.5,42.5,60.0,17.5,2.5,22.5,27.500000000000004,2.5,22.5,22.5,35.0,42.5,55.00000000000001,5.0,22.5,2.5,0.0,27.500000000000004,7.5,15.0,12.5,30.0,7.5,2.5,12.5,25.0,60.0,37.5,40.0,25.0,5.0,10.0,25.0
Data and Privacy Control,22.5,7.5,35.0,2.5,22.5,7.5,22.5,17.5,35.0,15.0,15.0,7.5,0.0,10.0,30.0,62.5,27.500000000000004,30.0,10.0,7.5,2.5,65.0,10.0,25.0,12.5,22.5,20.0,10.0,2.5,5.0,5.0,22.5,10.0,10.0,22.5,15.0,40.0,10.0,2.5,30.0,15.0,12.5,37.5,12.5,2.5,5.0,20.0,15.0,10.0,20.0
Debit Cards,47.5,72.5,2.5,10.0,7.5,7.5,50.0,62.5,5.0,20.0,65.0,35.0,10.0,0.0,10.0,5.0,5.0,7.5,22.5,27.500000000000004,52.5,7.5,5.0,45.0,2.5,7.5,52.5,7.5,12.5,25.0,0.0,45.0,0.0,0.0,45.0,12.5,27.500000000000004,15.0,12.5,7.5,7.5,2.5,32.5,20.0,10.0,2.5,47.5,22.5,10.0,40.0
Debt Management Services,12.5,15.0,47.5,2.5,47.5,10.0,17.5,7.5,20.0,37.5,12.5,2.5,30.0,10.0,0.0,32.5,70.0,45.0,15.0,12.5,20.0,37.5,12.5,15.0,12.5,40.0,12.5,7.5,2.5,7.5,10.0,10.0,30.0,27.500000000000004,12.5,47.5,55.00000000000001,47.5,7.5,37.5,40.0,20.0,22.5,10.0,7.5,2.5,15.0,40.0,12.5,15.0
Digital Confidence,10.0,5.0,35.0,2.5,45.0,7.5,20.0,5.0,22.5,15.0,7.5,10.0,62.5,5.0,32.5,0.0,32.5,50.0,7.5,5.0,0.0,50.0,12.5,17.5,10.0,27.500000000000004,12.5,10.0,2.5,5.0,5.0,12.5,12.5,12.5,12.5,12.5,25.0,15.0,2.5,35.0,10.0,15.0,22.5,10.0,5.0,7.5,7.5,10.0,7.5,10.0
Financial Assistance,10.0,12.5,60.0,2.5,60.0,10.0,15.0,5.0,20.0,25.0,5.0,0.0,27.500000000000004,5.0,70.0,32.5,0.0,50.0,7.5,2.5,20.0,42.5,12.5,15.0,12.5,27.500000000000004,7.5,5.0,2.5,0.0,10.0,10.0,27.500000000000004,20.0,12.5,37.5,40.0,37.5,5.0,45.0,30.0,17.5,22.5,10.0,5.0,0.0,7.5,30.0,10.0,10.0
Financial Education Webinars,17.5,12.5,47.5,7.5,70.0,5.0,20.0,7.5,20.0,17.5,7.5,7.5,30.0,7.5,45.0,50.0,50.0,0.0,7.5,10.0,7.5,45.0,17.5,12.5,20.0,20.0,20.0,15.0,7.5,7.5,12.5,12.5,25.0,10.0,15.0,15.0,22.5,27.500000000000004,7.5,67.5,15.0,30.0,22.5,7.5,5.0,7.5,7.5,17.5,10.0,2.5
Fixed Deposit,20.0,22.5,5.0,30.0,7.5,7.5,20.0,22.5,5.0,10.0,30.0,42.5,10.0,22.5,15.0,7.5,7.5,7.5,0.0,62.5,20.0,2.5,20.0,17.5,2.5,27.500000000000004,25.0,20.0,30.0,52.5,7.5,15.0,15.0,20.0,12.5,12.5,12.5,15.0,32.5,7.5,22.5,12.5,17.5,42.5,32.5,25.0,20.0,10.0,7.5,22.5
